"","jssdistrict","point_x","point_y"
"1","South Dayi (Kpeve)",0.20763073861599,6.37576246261597
"2","Sawla-Tuna-Kalba",-2.36116719245911,9.40702152252197
"3","Adaklu Anigbe (Kpetoe)",0.488698303699493,6.38395690917969
"4","talensi-Nabdam (Tongo)",-0.749606251716614,10.6783456802368
"5","Tain",-2.28683090209961,7.94890546798706
"6","Amansie Central (Jacobu)",-1.73985767364502,6.24280118942261
"7","Garu Tempane",-0.171862438321114,10.8220167160034
"8","Pru",-0.992189466953278,8.00764656066895
"9","Bunkpurugu Yunyoo (Bunkpurugu)",-0.0841669961810112,10.5221290588379
"10","Adansi North (Fomena)",-1.56873786449432,6.07334852218628
"11","Atiwa (Kwabeng)",-0.675171911716461,6.32678174972534
"12","Atwima Mponua (Nyinahin)",-2.17718052864075,6.54950714111328
"13","Adansi East (New Edubiase)",-1.39652860164642,6.10548162460327
"14","Adansi West (Obuasi)",-1.65927422046661,5.98641157150269
"15","Afigya Sekyere (Agona)",-1.54861426353455,7.00199604034424
"16","Ahafo Ano North (Tepa)",-2.20757961273193,6.90082979202271
"17","Ahafo Ano South (Mankranso)",-1.9891722202301,6.92877149581909
"18","Amansie East (Bekwai)",-1.37072885036469,6.38336086273193
"19","Amansie West (Manso-Nkwanta)",-1.8933699131012,6.43694496154785
"20","Asante Akim North (Konongo)",-1.01796305179596,6.83400392532349
"21","Asante Akim South (Juaso)",-1.08829259872437,6.53297996520996
"22","Atwima / Nwabiagya (Nkawie)",-1.80875706672668,6.68133735656738
"23","Bosomtwe/Atwima/Kwanwoma (Kuntanase)",-1.56275165081024,6.55932283401489
"24","Ejisu/Juaben (Ejisu)",-1.38873517513275,6.70792675018311
"25","Ejura/Sekyedumase (Ejura)",-1.36796534061432,7.46287393569946
"26","Kumasi Metro",-1.59718716144562,6.68205976486206
"27","Kwabre (Mamponteng)",-1.54142010211945,6.80677843093872
"28","Offinso",-1.89086854457855,7.34876441955566
"29","Sekyere East (Effiduase)",-0.844235956668854,7.21082878112793
"30","Sekyere West (Mampong)",-1.18007683753967,7.19956493377686
"31","",-2.64866065979004,7.87784051895142
"32","Kintampo South",-1.76331567764282,7.90123987197876
"33","Asunafo South",-2.57220482826233,6.63116884231567
"34","Kintampo North",-1.54442632198334,8.37111854553223
"35","Asunafo (Goaso)",-2.68374562263489,6.80908823013306
"36","Asutifi (Kenyasi)",-2.51506805419922,7.02809381484985
"37","Atebubu",-1.0652015209198,7.67559051513672
"38","Berekum",-2.63174390792847,7.50356483459473
"39","Dormaa (Dormaa Ahenkro)",-2.75384044647217,7.22284889221191
"40","Jaman (Drobo)",-2.7593035697937,7.68309593200684
"41","Kintampo",-1.54442632198334,8.37111854553223
"42","Nkoranza",-1.51597356796265,7.66436910629272
"43","Sene (Kwame Danso)",-0.348857820034027,7.72152233123779
"44","Sunyani",-2.3274233341217,7.34467792510986
"45","Tano North",-2.17906522750854,7.17709350585938
"46","Tano (Bechem)",-2.02141523361206,7.18365907669067
"47","Techiman",-1.94484198093414,7.67761468887329
"48","Wenchi",-1.94484198093414,7.67761468887329
"49","Assin South (Nsuaem Kyekyewere)",-1.26436614990234,5.49579477310181
"50","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"51","Agona Swedru",-0.755242526531219,5.61735343933105
"52","Ajumako/Enyan/Essiam (Ajumako)",-1.00538456439972,5.40172481536865
"53","Asikuma/Odoben/Brakwa (Breman Asikuma)",-1.01707422733307,5.63825035095215
"54","Assin North (Assin Fosu)",-1.37461698055267,5.77799510955811
"55","Awutu/Efutu/Senya (Winneba)",-0.508638918399811,5.54489612579346
"56","Cape Coast Municipal",-1.3065938949585,5.15365600585938
"57","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"58","Gomoa (Apam)",-0.723635494709015,5.40456104278564
"59","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"60","Twifo Hemang (Twifo Praso)",-1.55970335006714,5.57299947738647
"61","Upper Denkyira (Dunkwa-On-Offin)",-1.86744821071625,5.957923412323
"62","Akwapim North (Akropong)",-0.166071146726608,5.97642612457275
"63","Akwapim South (Nsawam)",-0.268249362707138,5.82600259780884
"64","Asuogyaman (Senchi Ferry)",0.0883282497525215,6.1892294883728
"65","Birim North ( New Abirem)",-1.02167463302612,6.22278738021851
"66","Birim South (Akim Oda)",-0.969164490699768,5.86416721343994
"67","East Akim (Kibi)",-0.454344213008881,6.17855787277222
"68","Fanteakwa (Begoro)",-0.356094092130661,6.43607091903687
"69","Kwaebibirem (Kade)",-0.799037277698517,6.13331890106201
"70","Kwahu North (Donkorkrom)",-0.264697343111038,6.91197347640991
"71","Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"72","Kwahu West (Nkawkaw)",-0.801975071430206,6.5270209312439
"73","Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"74","New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"75","Suhum/Kraboa/Coaltar",-0.474989742040634,5.94451522827148
"76","West Akim (Asamankese)",-0.609122574329376,5.8336124420166
"77","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"78","Accra Metropolitan",-0.197115257382393,5.6073956489563
"79","Dangme East (Ada)",0.106862179934978,5.91473388671875
"80","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"81","Ga East (Abokobi)",-0.241145879030228,5.72114276885986
"82","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"83","Tema",-0.0500882156193256,5.69031476974487
"84","Karaga",-0.535205662250519,9.93793296813965
"85","Central Gonja (Buipe)",-1.4432520866394,8.9619083404541
"86","Gushegu (Gushegu)",-0.187724083662033,9.93830871582031
"87","Nanumba South (Wulensi)",0.1514682918787,8.59566402435303
"88","Bole",-2.26667523384094,8.62969589233398
"89","East Dagomba (Yendi)",-0.200845062732697,9.35213088989258
"90","East Gonja (Salaga)",-0.533939599990845,8.72915744781494
"91","East Mamprusi (Gambaga)",-0.41415736079216,10.4712734222412
"92","Nanumba North (Bimbilla)",-0.141764163970947,8.81677436828613
"93","Saboba/Chereponi (Saboba)",0.166294068098068,9.91628551483154
"94","Savelugu/Nanton (Savelugu)",-0.815288662910461,9.81180095672607
"95","Tamale",-0.784348249435425,9.38335132598877
"96","Tolon Kunbungu (Tolon)",-1.10971987247467,9.52724552154541
"97","West Gonja (Damongo)",-1.70040583610535,9.50565147399902
"98","West Mamprusi (Walewale)",-1.11731052398682,10.3346328735352
"99","Zabzugu Tatale (Zabzugu)",0.371232807636261,9.13971710205078
"100","Bawku East (Bawku)",-0.188137739896774,11.0363521575928
"101","Bawku West (Zebilla)",-0.478857457637787,10.8185272216797
"102","Bolgatanga",-0.880232632160187,10.7424564361572
"103","Bongo",-0.787704288959503,10.9241199493408
"104","Builsa (Sandema)",-1.33749449253082,10.5570726394653
"105","Kassena/Nankani (Navrongo)",-1.21744096279144,10.9094228744507
"106","Wa West (Wechiau)",-2.64412522315979,9.91548728942871
