"","schoolname","schoolcode","sssdistrict","ssslong","ssslat"
"1","WESLEY GIRLS HIGH SCHOOL, CAPE COAST",30107,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"2","WESLEY GIRLS HIGH SCHOOL, CAPE COAST",30107,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"3","HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST",30103,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"4","WESLEY GIRLS HIGH SCHOOL, CAPE COAST",30107,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"5","HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST",30103,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"6","HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST",30103,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"7","ST. PETER'S SENIOR HIGH SCH, NKWATIA-KWAHU",21003,"Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"8","PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON",10111,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"9","MFANTSIPIM SENIOR HIGH SCHOOL, CAPE COAST",30104,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"10","WESLEY GIRLS HIGH SCHOOL, CAPE COAST",30107,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"11","ABURI GIRLS SENIOR HIGH. SCH., ABURI",20301,"Akwapim South (Nsawam)",-0.268249362707138,5.82600259780884
"12","ST. PETER'S SENIOR HIGH SCH, NKWATIA-KWAHU",21003,"Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"13","OPOKU WARE SENIOR HIGH. SCHOOL, SANTASI",50110,"Kumasi Metro",-1.59718716144562,6.68205976486206
"14","ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA",10110,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"15","HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST",30103,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"16","ARCHBISHOP PORTER SENIOR HIGH SCHOOL, SEKONDI",40103,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"17","ST. ROSE'S SENIOR HIGH SCH, AKWATIA",21103,"Kwaebibirem (Kade)",-0.799037277698517,6.13331890106201
"18","ABURI GIRLS SENIOR HIGH. SCH., ABURI",20301,"Akwapim South (Nsawam)",-0.268249362707138,5.82600259780884
"19","ST. LOUIS SENIOR HIGH. SCHOOL, ODOUM",50102,"Kumasi Metro",-1.59718716144562,6.68205976486206
"20","WESLEY GIRLS HIGH SCHOOL, CAPE COAST",30107,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"21","ABURI GIRLS SENIOR HIGH. SCH., ABURI",20301,"Akwapim South (Nsawam)",-0.268249362707138,5.82600259780884
"22","ST. ROSE'S SENIOR HIGH SCH, AKWATIA",21103,"Kwaebibirem (Kade)",-0.799037277698517,6.13331890106201
"23","HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST",30103,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"24","MFANTSIPIM SENIOR HIGH SCHOOL, CAPE COAST",30104,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"25","OPOKU WARE SENIOR HIGH. SCHOOL, SANTASI",50110,"Kumasi Metro",-1.59718716144562,6.68205976486206
"26","ST. LOUIS SENIOR HIGH. SCHOOL, ODOUM",50102,"Kumasi Metro",-1.59718716144562,6.68205976486206
