"","hhid","Income","Fs3_4","Fs5.","Fam_Size","college","whtcollar","retired"
"1",2100016,32.5,0,0,2,1,0,1
"8",2100024,17.5,1,0,3,1,1,1
"19",2100495,37.5,0,0,2,0,0,1
"30",2100560,17.5,0,0,1,0,1,0
"32",2100610,87.5,0,0,1,1,1,0
"34",2100628,12.5,0,0,2,0,0,1
"35",2100685,17.5,0,0,2,1,0,0
"41",2100693,17.5,0,0,2,0,0,1
"58",2100750,27.5,0,1,5,1,1,0
"67",2100834,67.5,0,0,2,1,1,0
"72",2100875,32.5,0,1,5,0,1,0
"75",2100933,22.5,0,0,1,1,1,0
"77",2101188,7.5,0,0,1,0,0,1
"86",2101295,47.5,0,0,2,0,1,1
"96",2101303,27.5,1,0,3,1,1,0
"104",2101378,12.5,0,1,5,0,1,0
"119",2101451,55,1,0,4,0,0,0
"147",2101618,22.5,1,0,4,0,0,0
"149",2101675,17.5,0,0,2,0,0,0
"153",2101741,27.5,1,0,3,0,1,0
"156",2101758,55,1,0,4,1,1,0
"161",2101949,37.5,1,0,4,1,1,0
"173",2101956,27.5,0,0,2,1,0,1
"183",2102046,7.5,0,0,2,0,0,1
"196",2102087,7.5,0,0,2,0,1,0
"198",2102152,12.5,0,1,5,0,0,0
"204",2102186,22.5,0,0,2,0,0,1
"226",2102228,130,0,0,2,1,1,0
"231",2102251,27.5,1,0,4,0,0,0
"246",2102277,42.5,0,1,5,1,1,0
"248",2102285,12.5,0,0,1,0,0,1
"249",2102426,37.5,0,0,2,1,0,1
"252",2103200,32.5,1,0,4,0,1,0
"255",2103309,22.5,1,0,4,0,1,0
"269",2103416,17.5,1,0,3,1,1,0
"281",2103630,27.5,0,0,1,1,0,1
"287",2103697,87.5,1,0,3,0,1,0
"289",2103721,12.5,0,0,2,1,1,0
"294",2103879,7.5,0,0,1,0,0,1
"295",2103911,47.5,1,0,3,1,0,0
"304",2103978,17.5,1,0,3,0,0,0
"307",2104109,27.5,0,1,6,0,0,0
"336",2104240,17.5,0,0,2,0,0,0
"349",2104273,37.5,0,1,6,1,1,0
"368",2104406,37.5,0,1,5,0,0,0
"372",2104455,12.5,1,0,4,1,1,0
"374",2104638,17.5,0,0,2,0,1,1
"380",2104695,42.5,1,0,4,0,0,0
"393",2104919,22.5,0,0,2,0,0,0
"397",2104950,32.5,1,0,4,0,1,1
"399",2105254,22.5,0,1,5,1,1,0
