"","hhid","choice","PPk_Stk","PBB_Stk","PFl_Stk","PHse_Stk","PGen_Stk","PImp_Stk","PSS_Tub","PPk_Tub","PFl_Tub","PHse_Tub"
"1",2100016,1,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
"2",2100016,1,0.63,0.67,0.99,0.57,0.36,1.03,0.85,1.09,1.19,0.37
"3",2100016,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
"4",2100016,1,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
"5",2100016,1,0.5,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"6",2100016,4,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"7",2100016,1,0.29,0.51,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
"8",2100024,1,0.66,0.45,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.33
"9",2100024,4,0.66,0.59,1.08,0.57,0.36,0.93,0.85,1.09,1.34,0.33
"10",2100024,1,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
"11",2100024,4,0.63,0.59,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.59
"12",2100024,8,0.63,0.59,0.99,0.57,0.36,0.88,0.85,1.09,1.19,0.59
"13",2100024,4,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
"14",2100024,3,0.58,0.45,0.99,0.45,0.33,0.72,0.65,1.07,1.19,0.59
"15",2100024,1,0.58,0.58,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
"16",2100024,1,0.29,0.5,0.99,0.33,0.33,0.72,0.85,1.07,1.19,0.59
"17",2100024,1,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
"18",2100024,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
"19",2100495,1,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"20",2100495,1,0.58,0.61,0.99,0.45,0.34,0.75,0.85,1.07,1.19,0.59
"21",2100495,1,0.5,0.58,0.99,0.45,0.34,0.72,0.86,1.07,1.19,0.59
"22",2100495,1,0.5,0.5,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"23",2100495,1,0.58,0.45,0.99,0.45,0.33,0.79,0.89,1.09,1.19,0.68
"24",2100495,1,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"25",2100495,1,0.58,0.58,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
"26",2100495,1,0.29,0.5,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
"27",2100495,1,0.29,0.5,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
"28",2100495,1,0.58,0.5,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
"29",2100495,1,0.58,0.5,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
"30",2100560,2,0.63,0.67,0.99,0.57,0.49,0.93,0.85,0.98,1.17,0.59
"31",2100560,4,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
"32",2100610,7,0.67,0.67,1.08,0.57,0.53,0.83,0.85,0.98,1.17,0.59
"33",2100610,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"34",2100628,1,0.58,0.25,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
"35",2100685,1,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
"36",2100685,2,0.25,0.39,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
"37",2100685,3,0.5,0.58,0.99,0.19,0.34,0.72,0.65,1.07,1.19,0.59
"38",2100685,4,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
"39",2100685,3,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.11,1.19,0.56
"40",2100685,3,0.39,0.58,0.99,0.29,0.33,0.69,0.63,1.09,1.19,0.56
"41",2100693,9,0.62,0.5,1.13,0.57,0.36,0.93,0.85,1.16,1.19,0.59
"42",2100693,9,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
