"","age","income","gender","race","price","ydum"
"1","(40,50]","(0,1e+03]","Male","White",15,1
"2","(60,90]","(6e+03,1e+04]","Male","White",15,1
"3","(25,30]","(0,1e+03]","Female","White",15,1
"4","(50,60]","(0,1e+03]","Female","Hispanic",15,0
"5","(60,90]","(2e+03,4e+03]","Female","White",15,1
"6","(50,60]","(6e+03,1e+04]","Female","Black",15,1
"7","(25,30]","(1e+04,3e+04]","Male","Black",15,1
"8","(30,40]","(0,1e+03]","Male","Hispanic",15,0
"9","(60,90]","(0,1e+03]","Female","Hispanic",15,0
"10","(0,25]","(1e+03,2e+03]","Female","Black",15,0
"11","(30,40]","(1e+03,2e+03]","Male","Hispanic",15,0
"12","(0,25]","(2e+03,4e+03]","Female","Hispanic",15,0
"13","(50,60]","(1e+04,3e+04]","Female","White",15,1
"14","(0,25]","(1e+04,3e+04]","Female","Black",15,0
"15","(40,50]","(0,1e+03]","Male","Hispanic",15,0
"16","(50,60]","(0,1e+03]","Male","Hispanic",15,0
"17","(25,30]","(6e+03,1e+04]","Male","White",15,1
"18","(40,50]","(1e+04,3e+04]","Female","Black",15,0
"19","(0,25]","(4e+03,6e+03]","Female","Hispanic",15,0
"20","(0,25]","(0,1e+03]","Female","Hispanic",15,0
"21","(50,60]","(0,1e+03]","Female","Hispanic",15,0
"22","(30,40]","(0,1e+03]","Male","Hispanic",15,0
"23","(40,50]","(0,1e+03]","Male","Black",15,0
"24","(60,90]","(0,1e+03]","Male","White",15,1
"25","(60,90]","(6e+03,1e+04]","Male","White",15,1
"26","(0,25]","(0,1e+03]","Female","Black",15,0
"27","(60,90]","(2e+03,4e+03]","Female","Hispanic",15,0
"28","(40,50]","(4e+03,6e+03]","Female","White",15,1
"29","(50,60]","(1e+04,3e+04]","Male","Hispanic",15,1
"30","(40,50]","(4e+03,6e+03]","Female","Black",15,0
"31","(60,90]","(0,1e+03]","Male","White",15,1
"32","(25,30]","(0,1e+03]","Male","Hispanic",15,0
"33","(30,40]","(0,1e+03]","Female","White",15,1
"34","(50,60]","(0,1e+03]","Male","Black",15,0
"35","(30,40]","(1e+04,3e+04]","Female","White",15,1
"36","(50,60]","(0,1e+03]","Male","White",15,1
"37","(60,90]","(0,1e+03]","Female","White",15,1
"38","(60,90]","(1e+04,3e+04]","Male","Hispanic",15,0
"39","(25,30]","(2e+03,4e+03]","Female","Hispanic",15,1
"40","(0,25]","(6e+03,1e+04]","Female","Hispanic",15,0
"41","(50,60]","(1e+04,3e+04]","Male","Hispanic",15,1
"42","(40,50]","(4e+03,6e+03]","Female","White",15,1
"43","(60,90]","(1e+03,2e+03]","Female","White",15,1
"44","(40,50]","(1e+04,3e+04]","Male","White",15,1
"45","(0,25]","(1e+04,3e+04]","Female","White",15,1
"46","(25,30]","(1e+03,2e+03]","Female","White",15,1
"47","(30,40]","(0,1e+03]","Male","Hispanic",15,0
"48","(60,90]","(2e+03,4e+03]","Female","Hispanic",15,0
"49","(30,40]","(6e+03,1e+04]","Female","Hispanic",15,0
"50","(40,50]","(0,1e+03]","Female","Black",15,0
"51","(30,40]","(2e+03,4e+03]","Female","Black",15,0
"52","(40,50]","(1e+04,3e+04]","Male","Hispanic",15,0
"53","(50,60]","(0,1e+03]","Female","Black",15,0
"54","(40,50]","(1e+03,2e+03]","Female","Hispanic",15,1
"55","(25,30]","(0,1e+03]","Female","Black",15,1
"56","(40,50]","(0,1e+03]","Female","Black",15,0
"57","(40,50]","(2e+03,4e+03]","Male","Hispanic",15,0
"58","(60,90]","(0,1e+03]","Female","White",15,1
"59","(25,30]","(2e+03,4e+03]","Female","Black",15,1
"60","(30,40]","(1e+04,3e+04]","Female","Hispanic",15,0
"61","(50,60]","(2e+03,4e+03]","Female","White",15,1
"62","(0,25]","(0,1e+03]","Male","Black",15,0
"63","(60,90]","(4e+03,6e+03]","Male","Hispanic",15,0
"64","(60,90]","(4e+03,6e+03]","Male","Black",15,0
"65","(50,60]","(0,1e+03]","Male","White",15,1
"66","(30,40]","(1e+03,2e+03]","Male","Hispanic",15,0
"67","(60,90]","(0,1e+03]","Female","White",15,1
"68","(50,60]","(6e+03,1e+04]","Female","White",15,1
"69","(60,90]","(2e+03,4e+03]","Female","Hispanic",15,0
"70","(40,50]","(6e+03,1e+04]","Female","Hispanic",15,0
"71","(30,40]","(0,1e+03]","Female","Hispanic",15,0
"72","(0,25]","(0,1e+03]","Male","Black",15,0
"73","(30,40]","(1e+04,3e+04]","Female","Black",15,0
"74","(30,40]","(0,1e+03]","Male","Black",15,0
"75","(40,50]","(2e+03,4e+03]","Male","Black",15,0
"76","(0,25]","(1e+04,3e+04]","Female","Hispanic",15,0
"77","(40,50]","(0,1e+03]","Female","Hispanic",15,0
"78","(50,60]","(1e+04,3e+04]","Male","Black",15,1
"79","(0,25]","(0,1e+03]","Male","White",15,0
"80","(25,30]","(0,1e+03]","Male","White",15,1
"81","(30,40]","(0,1e+03]","Female","Hispanic",15,0
"82","(40,50]","(1e+04,3e+04]","Male","Hispanic",15,0
"83","(30,40]","(1e+04,3e+04]","Male","Hispanic",15,0
"84","(60,90]","(4e+03,6e+03]","Female","Black",15,0
"85","(40,50]","(0,1e+03]","Female","Hispanic",15,0
"86","(50,60]","(1e+03,2e+03]","Male","Black",15,1
"87","(60,90]","(0,1e+03]","Male","White",15,1
"88","(0,25]","(6e+03,1e+04]","Female","Black",15,0
"89","(60,90]","(6e+03,1e+04]","Female","Black",15,0
"90","(60,90]","(1e+03,2e+03]","Female","Black",15,1
"91","(50,60]","(4e+03,6e+03]","Female","Hispanic",15,0
"92","(0,25]","(6e+03,1e+04]","Male","Black",15,0
"93","(50,60]","(6e+03,1e+04]","Male","Black",15,1
"94","(40,50]","(2e+03,4e+03]","Male","White",15,1
"95","(25,30]","(1e+03,2e+03]","Female","White",15,1
"96","(60,90]","(4e+03,6e+03]","Female","Black",15,0
"97","(60,90]","(1e+04,3e+04]","Male","White",15,1
"98","(30,40]","(1e+03,2e+03]","Female","Black",15,0
"99","(40,50]","(0,1e+03]","Female","White",15,1
"100","(60,90]","(2e+03,4e+03]","Female","White",15,1
"101","(30,40]","(1e+03,2e+03]","Male","Hispanic",15,0
"102","(60,90]","(1e+04,3e+04]","Female","White",15,1
"103","(50,60]","(0,1e+03]","Male","White",15,1
"104","(60,90]","(6e+03,1e+04]","Female","White",15,1
"105","(0,25]","(6e+03,1e+04]","Female","Hispanic",15,0
"106","(60,90]","(4e+03,6e+03]","Male","Hispanic",15,0
"107","(0,25]","(2e+03,4e+03]","Male","White",15,1
"108","(50,60]","(2e+03,4e+03]","Male","Black",15,1
